"Sample Name","dupInt","% rRNA","Duplication","5'-3' bias","M Aligned","% Alignable, M","% Proper Pairs","Error rate","M Non-Primary","M Reads Mapped","% Mapped","% Proper Pairs","% MapQ 0 Reads","M Total seqs","M Reads","M Reads Mapped","% Reads Mapped","% rRNA","% Dups","% GC","Average Read Length","Median Read Length","% Failed","M Seqs","% BP Trimmed","% Dups","% GC","Average Read Length","Median Read Length","% Failed","M Seqs"
"M10","1.37%","0.00%","82.4%",NA,2.2,"0.4%","1.9%","0.41%",4.6,4.4,"13.2%","13.2%","1.2%",33.5,38.1,9,"23.7%","","","","","","",NA,"","","","","","",NA
"M10_1","","","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","","71.0%","53%","150 bp","150 bp","45%",21.4,"20.0%","67.7%","49%","130 bp","147 bp","36%",19.6
"M10_2","","","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","9.5%","70.6%","54%","150 bp","150 bp","36%",21.4,"13.8%","67.6%","49%","129 bp","147 bp","36%",19.6
"M11","1.49%","0.00%","85.3%",NA,2.9,"0.6%","2.0%","0.40%",6.3,5.9,"17.6%","17.5%","1.7%",33.4,39.7,12.2,"30.6%","","","","","","",NA,"","","","","","",NA
"M11_1","","","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","","74.8%","58%","150 bp","150 bp","45%",21.4,"23.0%","71.3%","53%","128 bp","147 bp","36%",19.2
"M11_2","","","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","8.6%","74.5%","58%","150 bp","150 bp","45%",21.4,"15.4%","71.2%","53%","127 bp","147 bp","36%",19.2
"M12","0.96%","0.00%","74.1%",NA,1.8,"0.4%","2.7%","0.40%",3.2,3.6,"12.2%","12.2%","1.0%",29.2,32.5,6.8,"21.0%","","","","","","",NA,"","","","","","",NA
"M12_1","","","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","","69.1%","46%","150 bp","150 bp","45%",21.3,"15.0%","66.4%","42%","136 bp","147 bp","36%",19.9
"M12_2","","","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","17.5%","67.9%","46%","150 bp","150 bp","45%",21.3,"10.9%","65.3%","41%","134 bp","147 bp","36%",19.9
"M3","1.02%","0.00%","82.1%",NA,1.8,"0.4%","1.8%","0.48%",5.7,3.6,"12.8%","12.8%","1.9%",28.2,33.9,9.3,"27.3%","","","","","","",NA,"","","","","","",NA
"M3_1","","","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","","73.9%","48%","150 bp","150 bp","45%",23,"24.2%","69.3%","41%","130 bp","147 bp","36%",20
"M3_2","","","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","19.2%","72.6%","49%","150 bp","150 bp","45%",23,"14.7%","68.1%","40%","128 bp","147 bp","36%",20
"M5","1.20%","0.00%","77.8%",2.4,1.9,"0.8%","2.2%","0.40%",2.8,3.7,"11.3%","11.3%","0.8%",32.9,35.7,6.5,"18.2%","","","","","","",NA,"","","","","","",NA
"M5_1","","","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","","68.1%","55%","150 bp","150 bp","36%",19.9,"13.2%","65.8%","53%","137 bp","150 bp","36%",18.7
"M5_2","","","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","7.7%","68.4%","56%","150 bp","150 bp","36%",19.9,"8.9%","66.2%","53%","137 bp","150 bp","36%",18.7
